run_id,seed,baseline,chunk,fitness,expected_utility
5,42,Hybrid GA + GWO,0,0.7954481870060973,0.7954481870060973
5,42,Hybrid GA + GWO,1,0.820984570525456,0.820984570525456
5,42,Hybrid GA + GWO,2,0.820984570525456,0.820984570525456
5,42,Hybrid GA + GWO,3,0.820984570525456,0.820984570525456
5,42,Hybrid GA + GWO,4,0.820984570525456,0.820984570525456
5,42,Hybrid GA + GWO,5,0.8224999999999998,0.8224999999999998
5,42,Hybrid GA + GWO,6,0.8224999999999998,0.8224999999999998
5,42,Hybrid GA + GWO,7,0.8224999999999998,0.8224999999999998
5,42,Hybrid GA + GWO,8,0.8224999999999998,0.8224999999999998
5,42,Hybrid GA + GWO,9,0.8224999999999998,0.8224999999999998
5,42,Hybrid GA + GWO,10,0.8224999999999998,0.8224999999999998
5,42,Hybrid GA + GWO,11,0.8224999999999998,0.8224999999999998
5,42,Hybrid GA + GWO,12,0.8255778360129652,0.8255778360129652
5,42,Hybrid GA + GWO,13,0.8269791301577932,0.8269791301577932
5,42,Hybrid GA + GWO,14,0.8269791301577932,0.8269791301577932
5,42,Hybrid GA + GWO,15,0.8269791301577932,0.8269791301577932
5,42,Hybrid GA + GWO,16,0.8269791301577932,0.8269791301577932
5,42,Hybrid GA + GWO,17,0.8269791301577932,0.8269791301577932
5,42,Hybrid GA + GWO,18,0.8269791301577932,0.8269791301577932
5,42,Hybrid GA + GWO,19,0.8269791301577932,0.8269791301577932
